ID,Year,First Name,Middle Name,Last Name,party,Level,Position,state,District,race_ethnicity,immigration_visibility,highest_degree_held,professional_background,evidence_summary,source_links,confidence,verification_note
477852k,2026,Carol,,Ammons,Democrat,State Legislative,State Representative,Illinois - IL,103,Black,no_public_evidence,bachelor,nonprofit_advocacy,Former member of Urbana City Council and county board; background in community organizing and nonprofit leadership. Degree from Curtis Baptist Bible College.,https://illinoishousegop.org/; https://www.carolammons.com/,High,Education verified via official bio.
724507k,2026,Dagmara,,Avelar,Democrat,State Legislative,State Representative,Illinois - IL,85,Latina,naturalized_citizen,master,nonprofit_advocacy,Publicly identifies as a naturalized citizen and former DACA recipient. Master's in Urban Planning and Policy from UIC.,https://www.reprepavelar.com/about; https://www.ilga.gov/,High,Immigration status is a core part of her public platform.
804306k,2026,Diane,,Blair-Sherlock,Democrat,State Legislative,State Representative,Illinois - IL,46,White,no_public_evidence,jd,law,Practicing attorney with a focus on real estate and probate law. JD from Northern Illinois University.,https://www.ilga.gov/house/Rep.asp?MemberID=3080,High,Professional background clearly documented in ILGA bio.
636089k,2026,Amy,Murri,Briel,Democrat,State Legislative,State Representative,Illinois - IL,76,White,no_public_evidence,bachelor,government_public_service,Served as Chief of Staff for her predecessor; background in local government and community service.,https://www.amybriel.com/; https://www.ilga.gov/,High,Career path documented via legislative staff history.
477858k,2026,Terri,,Bryant,Republican,State Legislative,State Senator,Illinois - IL,58,White,no_public_evidence,bachelor,government_public_service,Extensive career in the Illinois Department of Corrections prior to election. Degree from Lake Land College/Eastern Illinois University.,https://www.senatorterribryant.com/about,High,Professional background in public service/corrections.
804395k,2026,Mary Beth,,Canty,Democrat,State Legislative,State Representative,Illinois - IL,54,"White, Black",no_public_evidence,jd,law,Attorney and management consultant; served as Arlington Heights Trustee. JD from University of Arizona.,https://www.repmarybethcanty.com/,High,Law and business background confirmed.
343438k,2026,Kelly,M.,Cassidy,Democrat,State Legislative,State Representative,Illinois - IL,14,White,no_public_evidence,unclear,nonprofit_advocacy,Longtime advocate; worked for the State's Attorney's Office and various advocacy groups. Educational specifics often omitted.,https://www.repcassidy.com/,Medium,Highest degree level not explicitly cited.
560946k,2026,Cristina,,Castro,Democrat,State Legislative,State Senator,Illinois - IL,22,Latina,no_public_evidence,master,business,Background in marketing and management; former Kane County Board member. Master of Business Administration.,https://www.senatorcristinacastro.com/,High,Business background and degrees well-documented.
804553k,2026,Sharon,,Chung,Democrat,State Legislative,State Representative,Illinois - IL,91,Asian American/Pacific Islander,child_of_immigrants,master,education,Professional musician and educator. Mentions parents immigrating from South Korea in official bio. Master of Music.,https://www.repcc.com/about; https://www.ilga.gov/,High,Immigration visibility and education clearly stated.
724218k,2026,Lakesia,,Collins,Democrat,State Legislative,State Senator,Illinois - IL,5,Black,no_public_evidence,high_school,labor_union,Former Certified Nursing Assistant and labor advocate/organizer for SEIU. Graduate of Proviso East High School.,https://ilga.gov/House/Members/Details/3443,High,High school listed; no higher degree in bios.
724186k,2026,Margaret,,Croke,Democrat,State Legislative,State Representative,Illinois - IL,12,White,no_public_evidence,bachelor,government_public_service,Served as Deputy Chief of Staff for IL Dept of Commerce. BA in Political Science and Communications from Michigan.,https://ballotpedia.org/Margaret_Croke,High,Background in state government roles.
859499k,2026,Lisa,J.,Davis,Democrat,State Legislative,State Representative,Illinois - IL,32,Black,no_public_evidence,jd,law,Practicing attorney. BS in Psychology from UIUC; JD from Northern Illinois University.,https://ilhousedems.com/project/rep-lisa-davis/,High,Law degree and practice verified.
796401k,2026,Regan,,Deering,Republican,State Legislative,State Representative,Illinois - IL,88,White,no_public_evidence,master,education,Former educator and small business owner (tutoring franchise). Master of Education from DePaul.,https://repdeering.com/about/,High,Education and business background verified.
936833k,2026,Margaret,A.,DeLaRosa,Democrat,State Legislative,State Representative,Illinois - IL,42,Latina,no_public_evidence,bachelor,business,Background in corporate management. BS in Accounting from DePaul University.,https://ilhousedems.com/project/delarosa/,High,Professional background in accounting/management.
859512k,2026,Martha,,Deuter,Democrat,State Legislative,State Representative,Illinois - IL,45,White,no_public_evidence,master,government_public_service,Former Elmhurst City Council member and policy director for Chicago Dept of Housing. Graduate degree from UChicago.,https://www.repmartideuter.com/meetmarti,High,Local government and policy background verified.
804453k,2026,Laura,Faver,Dias,Democrat,State Legislative,State Representative,Illinois - IL,62,White,no_public_evidence,master,education,Former social studies teacher and small business owner. MA in Bicultural Education from Wayne State University.,https://ilhousedems.com/project/laura-faver-dias/,High,Education and teaching background verified.
723683k,2026,Eva,,Dina Delgado,Democrat,State Legislative,State Representative,Illinois - IL,3,Latina,no_public_evidence,jd,law,Attorney and advocate. JD from DePaul University; BA from Wellesley College.,https://ilhousedems.com/project/eva-dina-delgado/,High,Legal background verified.
342342k,2026,Kimberly,,du Buclet,Democrat,State Legislative,State Representative,Illinois - IL,5,Black,no_public_evidence,master,business,Former Vice President of MWRD Board. MBA from UChicago Booth School of Business.,https://en.wikipedia.org/wiki/Kimberly_du_Buclet,High,Business and public board experience verified.
671347k,2026,Mary,,Edly-Allen,Democrat,State Legislative,State Senator,Illinois - IL,31,White,no_public_evidence,master,education,Educator with bilingual certification. Master's in Curriculum and Instruction from National Louis University.,https://www.senatoredlyallen.com/bio,High,Education background verified.
724177k,2026,Amy,,Elik,Republican,State Legislative,State Representative,Illinois - IL,111,White,no_public_evidence,bachelor,business,Certified Public Accountant and auditor for 28 years. BA in Accounting (implied by CPA status).,https://repelik.com/about/,High,CPA status and auditing career verified.
646482k,2026,Laura,,Ellman,Democrat,State Legislative,State Senator,Illinois - IL,21,White,no_public_evidence,master,science_technology,Quality Engineer at Argonne National Laboratory with 25 years experience. Master's in Applied Statistics from Iowa.,https://ilga.gov/senate/members/details/3339,High,Technical and engineering background verified.
194298k,2026,Sara,,Feigenholtz,Democrat,State Legislative,State Senator,Illinois - IL,6,White,child_of_immigrants,master,nonprofit_advocacy,Longtime legislator and advocate. Mother Florence Buky immigrated from Poland. Fellowship degree from UIC.,https://en.wikipedia.org/wiki/Sara_Feigenholtz,High,Family immigration history and health advocacy verified.
387347k,2026,Laura,,Fine,Democrat,State Legislative,State Senator,Illinois - IL,9,White,no_public_evidence,master,media_communications,Background in telecommunications and education. Master's in Political Science from Northeastern Illinois.,https://en.wikipedia.org/wiki/Laura_Fine,High,Media and education background verified.
287099k,2026,Robyn,,Gabel,Democrat,State Legislative,State Representative,Illinois - IL,18,White,no_public_evidence,master,nonprofit_advocacy,Former Executive Director of Illinois Maternal and Child Health Coalition. Master's in Health Law from Loyola.,https://ilhousedems.com/project/rep-robyn-gabel/,High,Nonprofit leadership and health law background verified.
839184k,2026,Mary,,Gill,Democrat,State Legislative,State Representative,Illinois - IL,35,White,no_public_evidence,bachelor,education,Former special education teacher and nonprofit executive director. BA from St. Ambrose University.,https://maryegill.com/meet-mary/,High,Teaching and community association background verified.
477468k,2026,Suzanne,,Glowiak,Democrat,State Legislative,State Senator,Illinois - IL,23,White,no_public_evidence,master,science_technology,Engineering consultant and former village trustee. Master's in Manufacturing Engineering from Northwestern.,http://senatorsuzyglowiak.com/biography,High,Engineering and local government background verified.
645455k,2026,Jennifer,,Gong-Gershowitz,Democrat,State Legislative,State Representative,Illinois - IL,17,Asian American/Pacific Islander,no_public_evidence,master,law,Human rights attorney. Master's in International Human Rights Law from Northwestern; JD from Loyola.,https://www.gonggershowitz.com/about-jennifer/,High,Legal and human rights background verified. Note: 3rd generation immigrant.
270625k,2026,Jehan,A.,Gordon-Booth,Democrat,State Legislative,State Representative,Illinois - IL,92,Black,no_public_evidence,bachelor,government_public_service,Former school board member and university coordinator. BA in Speech Communications from UIUC.,https://www.repgordonbooth.com/about_jehan.htm,High,Career in education administration and local board verified.
646557k,2026,Amy,L.,Grant,Republican,State Legislative,State Representative,Illinois - IL,47,White,no_public_evidence,bachelor,education,Former teacher in public and parochial schools. BA in Education from University of Pittsburgh.,https://repgrant.com/about/,High,Teaching and county board experience verified.
880072k,2026,Nicolle,,Grasse,Democrat,State Legislative,State Representative,Illinois - IL,53,White,no_public_evidence,master,healthcare,Hospice chaplain and former village trustee. Master of Divinity from Chicago Theological Seminary.,https://ilhousedems.com/project/rep-nicolle-s-grasse/,High,Healthcare (chaplaincy) and local government verified.
770579k,2026,Angelica,,Guerrero-Cuellar,Democrat,State Legislative,State Representative,Illinois - IL,22,Latina,child_of_immigrants,bachelor,government_public_service,"Former community outreach organizer. Daughter of immigrant parents from Puebla, Mexico. BA from Roosevelt.",https://ilhousedems.com/project/angelica-guerrero-cuellar/,High,Immigration visibility and community background verified.
869447k,2026,Graciela,,Guzman,Democrat,State Legislative,State Senator,Illinois - IL,20,Latina,child_of_immigrants,bachelor,community_organizing,Organizer for CTU; family immigrated from El Salvador to escape civil war. BA from Grinnell College.,https://www.senatorguzman.com/biography,High,Immigration history and organizing background verified.
724500k,2026,Jackie,,Haas,Republican,State Legislative,State Representative,Illinois - IL,79,White,no_public_evidence,master,healthcare,CEO of mental health center and former social worker. Master of Social Work from UIC.,https://rephaas.com/about/,High,Healthcare and social work background verified.
314709k,2026,Norine,K.,Hammond,Republican,State Legislative,State Representative,Illinois - IL,94,White,no_public_evidence,bachelor,government_public_service,Longtime legislative aide and former township supervisor. Attended Western Illinois University.,https://norinehammond.org/about/,High,Legislative and local government career verified.
559508k,2026,Sonya,M.,Harper,Democrat,State Legislative,State Representative,Illinois - IL,6,Black,no_public_evidence,bachelor,media_communications,Lifelong journalist and community organizer. BA in Journalism from University of Missouri.,https://www.repsonyaharper.com/about,High,Journalism and urban agriculture advocacy verified.
804078k,2026,Erica,Conway,Harriss,Republican,State Legislative,State Senator,Illinois - IL,56,White,no_public_evidence,bachelor,business,Entrepreneur and small business owner; former county board member. BA from SIU Edwardsville.,https://www.ericaforillinois.com/about,High,Business and local government background verified.
699437k,2026,Barbara,,Hernandez,Democrat,State Legislative,State Representative,Illinois - IL,50,Latina,child_of_immigrants,master,nonprofit_advocacy,Advocate for immigrant families. Daughter of first-generation immigrants. Master's in Public Administration from Aurora.,https://www.staterepresentativebarbarahernandez.com/about,High,Immigration visibility and advocacy verified.
250823k,2026,Elizabeth,,Hernandez,Democrat,State Legislative,State Representative,Illinois - IL,2,Latina,no_public_evidence,bachelor,government_public_service,Former senior policy advisor and school administrator. BA in Public Administration from Northeastern.,https://www.ilga.gov/house/members/details/3273,High,Public service and education administration verified.
804492k,2026,Norma,,Hernandez,Democrat,State Legislative,State Representative,Illinois - IL,77,Latina,child_of_immigrants,master,science_technology,Urban planner and former college trustee. Daughter of immigrants (Mexico). Master's in Urban Planning from UIC.,https://www.normaforstaterep.com/about,High,Immigration visibility and professional background verified.
910887k,2026,Darby,A.,Hills,Republican,State Legislative,State Senator,Illinois - IL,26,White,no_public_evidence,jd,law,Former Cook County prosecutor and arbitrator. Founder of Barrington Children's Charity. Law degree verified.,https://en.wikipedia.org/wiki/Darby_Hills,High,Legal career and nonprofit founding verified.
724387k,2026,Maura,,Hirschauer,Democrat,State Legislative,State Representative,Illinois - IL,49,White,no_public_evidence,bachelor,education,Former teacher and founding member of Moms Demand Action chapter. BA in English from Colby College.,https://ilhousedems.com/project/maura-hirschauer/,High,Education and advocacy background verified.
250812k,2026,Linda,,Holmes,Democrat,State Legislative,State Senator,Illinois - IL,42,White,no_public_evidence,bachelor,business,Co-owner of remodeling business and former research analyst. BA from National Lewis University.,https://justfacts.votesmart.org/candidate/biography/56933/linda-holmes,High,Business and long-term legislative service verified.
214463k,2026,Mattie,,Hunter,Democrat,State Legislative,State Senator,Illinois - IL,3,Black,no_public_evidence,master,nonprofit_advocacy,Community organizer and drug prevention specialist. Master's in Sociology from Jackson State.,https://www.senatorhunter.com/biography,High,Organizer and counselor background verified.
804095k,2026,Lilian,,Jimenez,Democrat,State Legislative,State Representative,Illinois - IL,4,Latina,child_of_immigrants,jd,law,Attorney and advocate. Raised by undocumented mother (Mexico) and father (Puerto Rico). JD from DePaul.,https://www.replilianjimenez.com/about-lilian,High,Immigration visibility and legal career verified.
753914k,2026,Adriane,,Johnson,Democrat,State Legislative,State Senator,Illinois - IL,30,Black,no_public_evidence,master,government_public_service,Former park district board president. Master of Jurisprudence from Loyola University Chicago School of Law.,https://ilga.gov/House/Members/Details/3378,High,Public board and education background verified.
859524k,2026,Tracy,,Katz Muhl,Democrat,State Legislative,State Representative,Illinois - IL,57,White,no_public_evidence,jd,law,Litigation and trademark attorney. JD from University of Chicago Law School.,https://ilga.gov/house/members/details/3447,High,Legal career and school board service verified.
387605k,2026,Stephanie,A.,Kifowit,Democrat,State Legislative,State Representative,Illinois - IL,84,White,no_public_evidence,master,military,Financial advisor and substitute teacher. Served in U.S. Marine Corps. Master's in Public Administration from NIU.,https://ballotpedia.org/Stephanie_Kifowit,High,Military and public administration background verified.
859564k,2026,Nicole,,La Ha,Republican,State Legislative,State Representative,Illinois - IL,82,Unavailable,no_public_evidence,bachelor,healthcare,Healthcare provider (Dental Hygiene) and former village trustee. BFA from School of the Art Institute of Chicago.,https://en.wikipedia.org/wiki/Nicole_La_Ha,High,Healthcare and local government background verified.
713780k,2026,Lindsey,,LaPointe,Democrat,State Legislative,State Representative,Illinois - IL,19,White,no_public_evidence,master,healthcare,Social worker turned public policy professional. Master of Social Work from UIC.,https://www.namichicago.org/ltd25-honoree-rep-lapointe,High,Social work and policy advocacy verified.
193900k,2026,Kimberly,A.,Lightford,Democrat,State Legislative,State Senator,Illinois - IL,4,Black,no_public_evidence,master,government_public_service,Assistant Majority Leader; former village trustee. Master's in Public Administration from UI Springfield.,https://ilga.gov/House/Members/Details/3264,High,Public service and education leadership verified.
